State,median_income
Alabama,"$55,935.00 "
Alaska,"$78,038.00 "
Arizona,"$70,080.00 "
Arkansas,"$54,322.00 "
California,"$78,002.00 "
Colorado,"$72,400.00 "
Connecticut,"$87,005.00 "
Delaware,"$74,051.00 "
District of Columbia,"$93,000.00 "
Florida,"$58,150.00 "
Georgia,"$56,480.00 "
Hawaii,"$88,101.00 "
Idaho,"$65,326.00 "
Illinois,"$74,030.00 "
Indiana,"$66,882.00 "
Iowa,"$65,635.00 "
Kansas,"$73,110.00 "
Kentucky,"$55,520.00 "
Louisiana,"$51,760.00 "
Maine,"$65,800.00 "
Maryland,"$95,310.00 "
Massachusetts,"$87,264.00 "
Michigan,"$63,769.00 "
Minnesota,"$81,260.00 "
Mississippi,"$44,092.00 "
Missouri,"$60,010.00 "
Montana,"$60,000.00 "
Nebraska,"$73,000.00 "
Nevada,"$70,627.00 "
New Hampshire,"$86,800.00 "
New Jersey,"$87,352.00 "
New Mexico,"$53,021.00 "
New York,"$71,300.00 "
North Carolina,"$60,300.00 "
North Dakota,"$70,000.00 "
Ohio,"$64,782.00 "
Oklahoma,"$59,303.00 "
Oregon,"$73,900.00 "
Pennsylvania,"$69,913.00 "
Rhode Island,"$70,002.00 "
South Carolina,"$61,476.00 "
South Dakota,"$63,600.00 "
Tennessee,"$56,615.00 "
Texas,"$67,280.00 "
Utah,"$84,517.00 "
Vermont,"$73,800.00 "
Virginia,"$81,000.00 "
Washington,"$82,175.00 "
West Virginia,"$53,520.00 "
Wisconsin,"$67,163.00 "
Wyoming,"$64,587.00 "
